答案1: 21
答案258: 1/4
答案259: 1/2
答案260: 4/5
答案261: 2
答案262: 10
答案263: 18
答案264: 1/12
答案265: 9
答案266: 1/60
答案267: 12
答案268: 13
答案269: 10
答案270: 15
答案271: 16
答案272: 17
答案273: 14
答案274: 8/35
答案275: 15
答案276: 5/21
答案277: 14
答案278: 2/81
答案279: 2/45
答案280: 2/63
答案281: 1/21
答案282: 1/36
答案283: 5/8
答案284: 3/25
答案285: 1
答案286: 7/10
答案287: 35/38
答案288: 4/7
答案289: 16
答案290: 10
答案291: 1/7
答案292: 8/21
答案293: 1/27
答案294: 12
答案295: 1/18
答案296: 3
答案297: 2/9
答案298: 22/63
答案299: 1/42
答案300: 1/9
答案301: 5/7
答案302: 1
答案303: 3
答案304: 1/12
答案305: 2/3
答案306: 4/9
答案307: 1/45
答案308: 10
答案309: 11
答案310: 12
答案311: 4/7
答案312: 13
答案313: 7/9
答案314: 14
答案315: 15
答案316: 16
答案317: 2/3
答案318: 17
答案319: 18
答案320: 12
答案321: 4/63
答案322: 4/15
答案323: 5/49
答案324: 8/9
答案325: 8/27
答案326: 1/5
答案327: 2/21
答案328: 43/84
答案329: 3/7
答案330: 3/5
答案331: 3/5
答案332: 2/5
答案333: 34/105
答案334: 1
答案335: 4/5
答案336: 10
答案337: 14
答案338: 13
答案339: 14
答案340: 15
答案341: 20
答案342: 10
答案343: 9
答案344: 18
答案345: 12
答案346: 19
答案347: 12
答案348: 9
答案349: 5/32
答案350: 7/9
答案351: 6
答案352: 7/40
答案353: 4
答案354: 14
答案355: 5/64
答案356: 9
答案357: 1/96
答案358: 7/18
答案359: 4/9
答案360: 9
答案361: 7
答案362: 8
答案363: 60
答案364: 1/21
答案365: 1/72
答案366: 2
答案367: 1/15
答案368: 1/180
答案369: 19/24
答案370: 1/18
答案371: 7/24
答案372: 1/21
答案373: 15
答案374: 3/8
答案375: 4/9
答案376: 5/8
答案377: 17
答案378: 10
答案379: 8/27
答案380: 1/144
答案381: 11
答案382: 12
答案383: 3/14
答案384: 12
答案385: 7/8
答案386: 5
答案387: 6
答案388: 7/216
答案389: 1/15
答案390: 1/28
答案391: 4
答案392: 9
答案393: 10
答案394: 7
答案395: 1/30
答案396: 8
答案397: 1/14
答案398: 4/63
答案399: 4/21
答案400: 4/35
答案401: 5
答案402: 13/20
答案403: 6
答案404: 4
答案405: 1
答案406: 4/15
答案407: 9
答案408: 10/21
答案409: 6/7
答案410: 3/28
答案411: 5
答案412: 4/27
答案413: 3
答案414: 4/9
答案415: 6
答案416: 8/27
答案417: 3
答案418: 10
答案419: 2/5
答案420: 5/96
答案421: 2
答案422: 10
答案423: 13/864
答案424: 3
答案425: 7/24
答案426: 2
答案427: 6
答案428: 17
答案429: 1/7
答案430: 0
答案431: 10
答案432: 0
答案433: 0
答案434: 5
答案435: 5/32
答案436: 5/16
答案437: 19
答案438: 0
答案439: 1
答案440: 3
答案441: 6
答案442: 5/12
答案443: 8
答案444: 1/36
答案445: 7
答案446: 8
答案447: 4
答案448: 14
答案449: 19
答案450: 6
答案451: 2/27
答案452: 13/112
答案453: 5
答案454: 7
答案455: 21/32
答案456: 1/98
答案457: 1
答案458: 0
答案459: 1/49
答案460: 1/8
答案461: 1
答案462: 9/14
答案463: 9
答案464: 11
答案465: 8
答案466: 3
答案467: 2
答案468: 17
答案469: 2/3
答案470: 1
答案471: 3/14
答案472: 2
答案473: 3/16
答案474: 2/105
答案475: 1/54
答案476: 2/63
答案477: 4
答案478: 4
答案479: 15
答案480: 3/56
答案481: 1/8
答案482: 8
答案483: 6
答案484: 1/4
答案485: 4
答案486: 1/20
答案487: 2
答案488: 1/8
答案489: 1/12
答案490: 1/32
答案491: 11
答案492: 1/36
答案493: 9
答案494: 10
答案495: 7
答案496: 8
答案497: 10
答案498: 9
答案499: 2
答案500: 3
答案501: 1
答案502: 3/4
答案503: 3/28
答案504: 4
答案505: 7/18
答案506: 2/7
答案507: 8/57
答案508: 1/3
答案509: 3/4
答案510: 2/3
答案511: 3/5
答案512: 2/7
答案513: 2
答案514: 1/35
答案515: 7/36
答案516: 3/4
答案517: 7/45
答案518: 7/18
答案519: 1/9
答案520: 7/27
答案521: 3
答案522: 1
答案523: 17/18
答案524: 5
答案525: 6
答案526: 7
答案527: 8
答案528: 5/6
答案529: 2
答案530: 3
答案531: 4
答案532: 29/63
答案533: 1/10
答案534: 1/8
答案535: 1/24
答案536: 11
答案537: 1/32
答案538: 1/40
答案539: 5/56
答案540: 1/3
答案541: 7/24
答案542: 1/8
答案543: 1/16
答案544: 2/81
答案545: 10
答案546: 6
答案547: 5/7
答案548: 1
答案549: 5
答案550: 10
答案551: 10
答案552: 4
答案553: 5
答案554: 8/15
答案555: 1
答案556: 2
答案557: 5/56
答案558: 5/49
答案559: 5/42
答案560: 1/7
答案561: 12
答案562: 5/28
答案563: 9/64
答案564: 10
答案565: 11
答案566: 15
答案567: 12
答案568: 5/216
答案569: 14
答案570: 1/15
答案571: 8
答案572: 4/27
答案573: 14
答案574: 17
答案575: 20
答案576: 8/27
答案577: 2/9
答案578: 8/9
答案579: 8
答案580: 4/9
答案581: 31/42
答案582: 8/81
答案583: 6
答案584: 9
答案585: 8/63
答案586: 1/9
答案587: 2/9
答案588: 3/7
答案589: 5
答案590: 1/2
答案591: 8
答案592: 17
答案593: 3/8
答案594: 1
答案595: 10
答案596: 18
答案597: 3
答案598: 4
答案599: 3/10
答案600: 9/10
答案601: 12
答案602: 1/240
答案603: 2
答案604: 8/21
答案605: 8
答案606: 10
答案607: 8
答案608: 5
答案609: 9
答案610: 8/63
答案611: 7/8
答案612: 17
答案613: 11
答案614: 4/21
答案615: 1/30
答案616: 14/27
答案617: 26/63
答案618: 4
答案619: 25/32
答案620: 19
答案621: 3/224
答案622: 5/18
答案623: 1/42
答案624: 5/12
答案625: 5/72
答案626: 1/15
答案627: 4
答案628: 7/48
答案629: 4/9
答案630: 1/96
答案631: 12
答案632: 6
答案633: 6
答案634: 5
答案635: 18
答案636: 3
答案637: 17
答案638: 1
答案639: 1/2
答案640: 7/24
答案641: 2/9
答案642: 1/9
答案643: 1/3
答案644: 5/24
答案645: 7
答案646: 2/15
答案647: 13
答案648: 15
答案649: 1/36
答案650: 6/11
答案651: 4
答案652: 1/9
答案653: 8
答案654: 4
答案655: 20
答案656: 5/32
答案657: 17
答案658: 3
答案659: 3
答案660: 35/54
答案661: 4/63
答案662: 2
答案663: 11
答案664: 2
答案665: 19
答案666: 12
答案667: 2
答案668: 2/135
答案669: 9
答案670: 8
答案671: 1/6
答案672: 11
答案673: 1/2
答案674: 8/9
答案675: 8/135
答案676: 1/14
答案677: 1/35
答案678: 2/189
答案679: 2
答案680: 6
答案681: 5/3528
答案682: 4
答案683: 7
答案684: 6
答案685: 12
答案686: 13
答案687: 2
答案688: 7/18
答案689: 4/5
答案690: 2/5
答案691: 7
答案692: 14
答案693: 1/4
答案694: 5
答案695: 21
答案696: 14
答案697: 28
答案698: 1/3
答案699: 2/5
答案700: 3/4
答案701: 8
答案702: 1/3
答案703: 13
答案704: 5/8
答案705: 2/3
答案706: 10
答案707: 1/2
答案708: 11
答案709: 9
答案710: 8/9
答案711: 1/252
答案712: 1/32
答案713: 1/40
答案714: 1/2
答案715: 12
答案716: 1/12
答案717: 3/160
答案718: 1/6
答案719: 2/9
答案720: 4/7
答案721: 2/7
答案722: 11
答案723: 1/4
答案724: 3/20
答案725: 5/9
答案726: 7/36
答案727: 13/30
答案728: 9
答案729: 8
答案730: 1/12
答案731: 1/9
答案732: 1
答案733: 14
答案734: 15
答案735: 12
答案736: 5
答案737: 13
答案738: 10
答案739: 11
答案740: 7/9
答案741: 2
答案742: 4
答案743: 6
答案744: 3/35
答案745: 2
答案746: 19
答案747: 1/15
答案748: 10
答案749: 4/35
答案750: 8
答案751: 3
答案752: 3/5
答案753: 8
答案754: 9
答案755: 1/3
答案756: 7
答案757: 3
答案758: 7/522
答案759: 2/7
答案760: 17
答案761: 16
答案762: 4/5
答案763: 1/8
答案764: 11
答案765: 1/12
答案766: 11
答案767: 5
答案768: 14
答案769: 13
答案770: 1/36
答案771: 4
答案772: 1/8
答案773: 5/48
答案774: 1/81
答案775: 5/64
答案776: 5/8
答案777: 5/32
答案778: 7/36
答案779: 8
答案780: 1/14
答案781: 1/126
答案782: 9
答案783: 18
答案784: 15
答案785: 24
答案786: 27
答案787: 19
答案788: 20
答案789: 2
答案790: 4/405
答案791: 3
答案792: 6
答案793: 1/9
答案794: 9
答案795: 15
答案796: 3/8
答案797: 15
答案798: 2/7
答案799: 4
答案800: 5
答案801: 12
答案802: 6
答案803: 1/12
答案804: 7
答案805: 10
答案806: 8
答案807: 9
答案808: 1/3
答案809: 10
答案810: 9
答案811: 11
答案812: 7/108
答案813: 1/20
答案814: 17
答案815: 1/80
答案816: 17
答案817: 16
答案818: 45
答案819: 2/3
答案820: 5
答案821: 8/9
答案822: 4
答案823: 4
答案824: 12
答案825: 6
答案826: 3
答案827: 2
答案828: 19
答案829: 6
答案830: 1/3
答案831: 7/9
答案832: 5/21
答案833: 5/6
答案834: 15
答案835: 7
答案836: 17
答案837: 9
答案838: 2
答案839: 2
答案840: 7/72
答案841: 9
答案842: 7/108
答案843: 7/54
答案844: 7/81
答案845: 10
答案846: 7/72
答案847: 7/27
答案848: 2
答案849: 7/18
答案850: 3/16
答案851: 15
答案852: 7/45
答案853: 5
答案854: 8
答案855: 16
答案856: 7/27
答案857: 17
答案858: 14
答案859: 12
答案860: 13
答案861: 10
答案862: 8
答案863: 11
答案864: 4/9
答案865: 5/64
答案866: 18
答案867: 18
答案868: 5/108
答案869: 20
答案870: 3
答案871: 7/12
答案872: 35/72
答案873: 7/9
答案874: 7/18
答案875: 7/15
答案876: 1/3
答案877: 2/7
答案878: 12
答案879: 2
答案880: 8/21
答案881: 1/10
答案882: 6
答案883: 13
答案884: 4/21
答案885: 1/6
答案886: 1/20
答案887: 4/105
答案888: 14
答案889: 3/14
答案890: 4
答案891: 1/6
答案892: 1/2
答案893: 3
答案894: 2/147
答案895: 3/196
答案896: 1/8
答案897: 1/16
答案898: 17
答案899: 3/40
答案900: 10/1323
答案901: 1/648
答案902: 3/16
答案903: 3/8
答案904: 1
答案905: 17
答案906: 13
答案907: 1/9
答案908: 12
答案909: 15
答案910: 14
答案911: 4
答案912: 1/30
答案913: 12
答案914: 17
答案915: 11
答案916: 1/40
答案917: 8
答案918: 9
答案919: 9
答案920: 8
答案921: 1/10
答案922: 7
答案923: 7
答案924: 3/28
答案925: 3/8
答案926: 3/64
答案927: 12
答案928: 3/56
答案929: 6
答案930: 1/30
答案931: 1/24
答案932: 8
答案933: 4
答案934: 13
答案935: 5/168
答案936: 15
答案937: 14
答案938: 3
答案939: 14
答案940: 2/3
答案941: 8
答案942: 1/6
答案943: 16
答案944: 10
答案945: 3/20
答案946: 11
答案947: 7
答案948: 1/49
答案949: 11
答案950: 6/245
答案951: 3/5
答案952: 5
答案953: 1/12
答案954: 6/49
答案955: 3/28
答案956: 1
答案957: 8/9
答案958: 20/21
答案959: 4
答案960: 10
答案961: 2
答案962: 1
答案963: 7/16
答案964: 6/7
答案965: 3/5
答案966: 1/14
答案967: 1/40
答案968: 18
答案969: 5
答案970: 3
答案971: 6
答案972: 8
答案973: 1/5
答案974: 1
答案975: 14
答案976: 9
答案977: 8
答案978: 3/7
答案979: 1/72
答案980: 8
答案981: 9
答案982: 20/49
答案983: 6
答案984: 3
答案985: 1
答案986: 11
答案987: 2
答案988: 7/54
答案989: 2
答案990: 1/9
答案991: 3
答案992: 4
答案993: 10
答案994: 5
答案995: 7/18
答案996: 6
答案997: 6
答案998: 7
答案999: 7
答案1000: 19
答案1001: 13
答案1002: 12
答案1003: 4
答案1004: 1/42
答案1005: 11
答案1006: 1/18
答案1007: 14
答案1008: 2/9
答案1009: 2
答案1010: 1
答案1011: 3
答案1012: 9/40
答案1013: 12
答案1014: 10/21
答案1015: 8
答案1016: 7
答案1017: 18
答案1018: 8
答案1019: 6/7
答案1020: 9
答案1021: 1/7
答案1022: 2
答案1023: 1/4
答案1024: 1/96
答案1025: 8
答案1026: 5/72
答案1027: 5
答案1028: 7
答案1029: 15
答案1030: 4
答案1031: 14
答案1032: 3
答案1033: 13
答案1034: 6
答案1035: 2
答案1036: 5
答案1037: 16
答案1038: 19
答案1039: 2
答案1040: 3
答案1041: 5
答案1042: 6
答案1043: 7
答案1044: 8
答案1045: 9
答案1046: 10
答案1047: 1/32
答案1048: 11
答案1049: 8
答案1050: 4/21
答案1051: 8/49
答案1052: 2/7
答案1053: 3
答案1054: 23/576
答案1055: 2/21
答案1056: 9/20
答案1057: 4
答案1058: 5
答案1059: 4
答案1060: 1/35
答案1061: 6
答案1062: 2
答案1063: 7/45
答案1064: 12
答案1065: 1
答案1066: 3
答案1067: 2
答案1068: 5/42
答案1069: 6
答案1070: 9
答案1071: 8
答案1072: 1
答案1073: 6
答案1074: 1
答案1075: 3/40
答案1076: 3/80
答案1077: 3/128
答案1078: 3/32
答案1079: 3/8
答案1080: 7/16
答案1081: 8/63
答案1082: 1
答案1083: 7/96
答案1084: 15
答案1085: 10
答案1086: 1/20
答案1087: 5/126
答案1088: 28/55
答案1089: 5
答案1090: 5/72
答案1091: 5/28
答案1092: 10
答案1093: 15
答案1094: 11
答案1095: 17
答案1096: 4/15
答案1097: 4
答案1098: 7
答案1099: 8
答案1100: 5/6
答案1101: 17
答案1102: 1
答案1103: 7/24
答案1104: 10
答案1105: 2
答案1106: 2/3
答案1107: 2/3
答案1108: 19
答案1109: 1/2
答案1110: 18
答案1111: 2/5
答案1112: 1/21
答案1113: 20
答案1114: 1/3
答案1115: 2/7
答案1116: 2/13
答案1117: 20
答案1118: 1/15
答案1119: 7/8
答案1120: 1/12
答案1121: 1/6
答案1122: 17
答案1123: 25/384
答案1124: 10
答案1125: 4
答案1126: 4
答案1127: 1/4
答案1128: 8
答案1129: 2/27
答案1130: 7
答案1131: 5
答案1132: 1/12
答案1133: 2/3
答案1134: 16/21
答案1135: 1/3
答案1136: 1/5
答案1137: 31/60
答案1138: 1/12
答案1139: 4
答案1140: 8/81
答案1141: 1/24
答案1142: 14
答案1143: 7
答案1144: 1/28
答案1145: 11
答案1146: 10
答案1147: 9
答案1148: 7
答案1149: 7
答案1150: 4
答案1151: 9/16
答案1152: 1
答案1153: 3
答案1154: 0
答案1155: 14/45
答案1156: 1/18
答案1157: 13
答案1158: 8/9
答案1159: 3
答案1160: 41/90
答案1161: 15
答案1162: 1/63
答案1163: 1/30
答案1164: 1/35
答案1165: 1/20
答案1166: 12
答案1167: 2
答案1168: 1/25
答案1169: 13
答案1170: 12
答案1171: 10
答案1172: 19
答案1173: 6
答案1174: 17
答案1175: 1/40
答案1176: 1/45
答案1177: 2/3
答案1178: 4
答案1179: 12
答案1180: 3/280
答案1181: 1/10
答案1182: 1/15
答案1183: 1/5
答案1184: 17
答案1185: 6
答案1186: 1/9
答案1187: 4
答案1188: 7/18
答案1189: 1/135
答案1190: 6
答案1191: 5
答案1192: 9
答案1193: 2
答案1194: 14
答案1195: 4
答案1196: 3
答案1197: 4
答案1198: 5
答案1199: 6
答案1200: 7
答案1201: 1/8
答案1202: 6/7
答案1203: 1/21
答案1204: 8
答案1205: 3/8
答案1206: 5/896
答案1207: 2/5
答案1208: 14
答案1209: 7/54
答案1210: 1/2
答案1211: 10
答案1212: 1/30
答案1213: 1/3
答案1214: 2/7
答案1215: 16/33
答案1216: 11
答案1217: 9
答案1218: 5
答案1219: 12
答案1220: 1/560
答案1221: 13/24
答案1222: 2/27
答案1223: 22/27
答案1224: 4
答案1225: 6
答案1226: 15
答案1227: 2
答案1228: 6/7
答案1229: 3/7
答案1230: 3/7
答案1231: 8/21
答案1232: 2/7
答案1233: 3/14
答案1234: 1/2
答案1235: 6/7
答案1236: 19
答案1237: 15
答案1238: 9/10
答案1239: 20/27
答案1240: 7
答案1241: 2
答案1242: 5/7
答案1243: 1/48
答案1244: 5/6
答案1245: 5
答案1246: 3
答案1247: 5/9
答案1248: 5/8
答案1249: 3/4
答案1250: 6/35
答案1251: 15/256
答案1252: 1/7
答案1253: 6/49
答案1254: 3/28
答案1255: 5
答案1256: 3/5
答案1257: 3
答案1258: 6
答案1259: 2
答案1260: 3
答案1261: 4
答案1262: 9
答案1263: 1/10
答案1264: 3/35
答案1265: 8
答案1266: 17
答案1267: 1
答案1268: 1/15
答案1269: 18
答案1270: 3/10
答案1271: 6
答案1272: 3/20
答案1273: 7
答案1274: 8
答案1275: 3/7
答案1276: 11
答案1277: 4
答案1278: 3/70
答案1279: 2/21
答案1280: 2/3
答案1281: 6
答案1282: 2
答案1283: 1
答案1284: 13
答案1285: 7
答案1286: 11
答案1287: 1/4
答案1288: 9
答案1289: 8
答案1290: 7
答案1291: 6/7
答案1292: 8/9
答案1293: 10
答案1294: 33/140
答案1295: 7
答案1296: 9
答案1297: 15
答案1298: 1
答案1299: 0
答案1300: 1
答案1301: 1/16
答案1302: 1/2
答案1303: 9/32
答案1304: 7
答案1305: 16
答案1306: 8
答案1307: 1/8
答案1308: 2/5
答案1309: 4
答案1310: 1/3
答案1311: 16
答案1312: 12
答案1313: 3
答案1314: 20
答案1315: 5
答案1316: 4/9
答案1317: 3
答案1318: 2/7
答案1319: 13
答案1320: 2/9
答案1321: 2/7
答案1322: 2/5
答案1323: 2/3
答案1324: 1/2
答案1325: 5/8
答案1326: 8
答案1327: 11
答案1328: 10
答案1329: 5/9
答案1330: 1/9
答案1331: 18
答案1332: 9
答案1333: 14
答案1334: 5/6
答案1335: 1/32
答案1336: 1/15
答案1337: 40/81
答案1338: 2/9
答案1339: 1/18
答案1340: 3/8
答案1341: 3/5
答案1342: 9
答案1343: 19/24
答案1344: 9/31
答案1345: 1/21
答案1346: 6
答案1347: 13
答案1348: 5
答案1349: 3/56
答案1350: 2
答案1351: 7/90
答案1352: 5/21
答案1353: 16
答案1354: 8
答案1355: 4
答案1356: 8/63
答案1357: 7
答案1358: 17
答案1359: 4/9
答案1360: 15
答案1361: 14
答案1362: 2/9
答案1363: 13
答案1364: 12
答案1365: 5
答案1366: 11
答案1367: 10
答案1368: 4
答案1369: 8
答案1370: 6
答案1371: 12
答案1372: 7
答案1373: 8
答案1374: 10
答案1375: 11
答案1376: 10
答案1377: 1/8
答案1378: 24/53
答案1379: 12
答案1380: 1/45
答案1381: 3/56
答案1382: 14
答案1383: 2/3
答案1384: 1/2
答案1385: 2/15
答案1386: 6
答案1387: 17/160
答案1388: 7
答案1389: 10
答案1390: 1/7
答案1391: 1
答案1392: 8
答案1393: 18
答案1394: 4
答案1395: 4/7
答案1396: 10
答案1397: 4
答案1398: 2/7
答案1399: 15
答案1400: 14
答案1401: 7/30
答案1402: 17
答案1403: 8
答案1404: 16
答案1405: 11
答案1406: 10
答案1407: 13
答案1408: 4/25
答案1409: 12
答案1410: 10/21
答案1411: 8
答案1412: 4
答案1413: 14
答案1414: 13
答案1415: 0
答案1416: 20/27
答案1417: 20
答案1418: 1/10
答案1419: 17
答案1420: 5/16
答案1421: 16
答案1422: 18
答案1423: 3/7
答案1424: 3/14
答案1425: 2/7
答案1426: 1/28
答案1427: 7
答案1428: 4/1701
答案1429: 12/17
答案1430: 1/7
答案1431: 6/35
答案1432: 2/3
答案1433: 1
答案1434: 6/49
答案1435: 1/54
答案1436: 16
答案1437: 2/81
答案1438: 17
答案1439: 84
答案1440: 5
答案1441: 4
答案1442: 10
答案1443: 7/60
答案1444: 13
答案1445: 9
答案1446: 14
答案1447: 2/5
答案1448: 8
答案1449: 15
答案1450: 7
答案1451: 41/448
答案1452: 1/60
答案1453: 11
答案1454: 2
答案1455: 5/48
答案1456: 17
答案1457: 3
答案1458: 5/42
答案1459: 1/7
答案1460: 5/54
答案1461: 2
答案1462: 5/24
答案1463: 11
答案1464: 5/12
答案1465: 2/5
答案1466: 5/6
答案1467: 5/24
答案1468: 9/16
答案1469: 5/18
答案1470: 1/6
答案1471: 5
答案1472: 4
答案1473: 20
答案1474: 2/3
答案1475: 8/9
答案1476: 19
答案1477: 1/14
答案1478: 0
答案1479: 7
答案1480: 1
答案1481: 5/243
答案1482: 5/112
答案1483: 2/7
答案1484: 7
答案1485: 10
答案1486: 7/39
答案1487: 11/35
答案1488: 12
答案1489: 7
答案1490: 11
答案1491: 13/105
答案1492: 3
答案1493: 12
答案1494: 2
答案1495: 2
答案1496: 1/7
答案1497: 12
答案1498: 1/6
答案1499: 1/2
答案1500: 1/3
答案1501: 11/45
答案1502: 8
答案1503: 9
答案1504: 2
答案1505: 15
答案1506: 7/45
答案1507: 2/35
答案1508: 4
答案1509: 4
答案1510: 1/135
答案1511: 19
答案1512: 7/18
答案1513: 4
答案1514: 24/49
答案1515: 7
答案1516: 1/3
答案1517: 8/21
答案1518: 4/9
答案1519: 8/15
答案1520: 1/9
答案1521: 6/49
答案1522: 7/81
答案1523: 2/3
答案1524: 8/9
答案1525: 7/12
答案1526: 11
答案1527: 2/3
答案1528: 16/81
答案1529: 4
答案1530: 8
答案1531: 2/9
答案1532: 12
答案1533: 7
答案1534: 1/6
答案1535: 5
答案1536: 1/9
答案1537: 6
答案1538: 27/83
答案1539: 7
答案1540: 2/3
答案1541: 3/10
答案1542: 11
答案1543: 5
答案1544: 2
答案1545: 8
答案1546: 1/4
答案1547: 6/7
答案1548: 3/16
答案1549: 1/3
答案1550: 6
答案1551: 4
答案1552: 3
答案1553: 2
答案1554: 1
答案1555: 6/7
答案1556: 1/27
答案1557: 1/24
答案1558: 1
答案1559: 6/7
答案1560: 1/12
答案1561: 1/21
答案1562: 1/18
答案1563: 2/3
答案1564: 1/2
答案1565: 2
答案1566: 1/16
答案1567: 2/21
答案1568: 5/48
答案1569: 12
答案1570: 9/32
答案1571: 9
答案1572: 14
答案1573: 3/80
答案1574: 1/30
答案1575: 1/7
答案1576: 16
答案1577: 5
答案1578: 5/18
答案1579: 15
答案1580: 3
答案1581: 1/24
答案1582: 1/15
答案1583: 9
答案1584: 5
答案1585: 18
答案1586: 5
答案1587: 19
答案1588: 2
答案1589: 11
答案1590: 1
答案1591: 4
答案1592: 1
答案1593: 20
答案1594: 9
答案1595: 1
答案1596: 17
答案1597: 7/8
答案1598: 5/42
答案1599: 3/4
答案1600: 2/3
答案1601: 4/9
答案1602: 7/72
答案1603: 6
答案1604: 4
答案1605: 6
答案1606: 9
答案1607: 17
答案1608: 12
答案1609: 9
答案1610: 3/8
答案1611: 17
答案1612: 1/81
答案1613: 3
答案1614: 14
答案1615: 1/24
答案1616: 2/15
答案1617: 2/3
答案1618: 1/36
答案1619: 5
答案1620: 5/48
答案1621: 11
答案1622: 9
答案1623: 3
答案1624: 1/6
答案1625: 5
答案1626: 5/12
答案1627: 5/6
答案1628: 6
答案1629: 14
答案1630: 20/81
答案1631: 3/49
答案1632: 11
答案1633: 7/8
答案1634: 1/336
答案1635: 17
答案1636: 5/96
答案1637: 1/8
答案1638: 8
答案1639: 24/125
答案1640: 1/3
答案1641: 4/81
答案1642: 19
答案1643: 1/196
答案1644: 2/81
答案1645: 20
答案1646: 19
答案1647: 19
答案1648: 15
答案1649: 1/2
答案1650: 13
答案1651: 1/4
答案1652: 1/4
答案1653: 1/6
答案1654: 1/8
答案1655: 16
答案1656: 1/30
答案1657: 2/9
答案1658: 1/12
答案1659: 2/729
答案1660: 5/16
答案1661: 1/14
答案1662: 1/18
答案1663: 10/21
答案1664: 2/3
答案1665: 4
答案1666: 3
答案1667: 10
答案1668: 11
答案1669: 7/9
答案1670: 9
答案1671: 12/31
答案1672: 11
答案1673: 9
答案1674: 10
答案1675: 14
答案1676: 4
答案1677: 9
答案1678: 5
答案1679: 8
答案1680: 3/8
答案1681: 12
答案1682: 12
答案1683: 7
答案1684: 15
